path,exists,sha256,size_bytes
reports\oneflow_local_worker_lifecycle_verify_v2_20260731_034414\ONEFLOW_LOCAL_WORKER_LIFECYCLE_VERIFY_DECISION_V2.json,True,d783dd1454728117427bb3b2e47e0de9dae862e1bff94198b85908d20481df25,1500
src\pc_agent\local_command_runner.py,True,ea6b8c00498e7782057dca818f202db2effd04836dd558adcbcec367ae9804ec,4948
