"kind","category","decision","source_path","stable_path","original_file_name","source_sha256","stable_sha256","sha_match"
"runtime","P0_DAILY_QUEUE_RUNNER","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_DAILY_QUEUE_RUNNER\76737a6582c9_dailyQueueReader.js","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\queue\dailyQueueReader.js","dailyQueueReader.js","76737a6582c93ba4330a8e0e8f4fcc4dc7380585cc265d8f2675c9e20c7c0620","76737a6582c93ba4330a8e0e8f4fcc4dc7380585cc265d8f2675c9e20c7c0620","True"
"runtime","P0_DAILY_QUEUE_RUNNER","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_DAILY_QUEUE_RUNNER\ab40b61eecaf_pythonProcessRunner.js","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\queue\pythonProcessRunner.js","pythonProcessRunner.js","ab40b61eecaf9731dd8708c5e3e4f090f79b68242901c445610b718f4e53aab0","ab40b61eecaf9731dd8708c5e3e4f090f79b68242901c445610b718f4e53aab0","True"
"runtime","P0_GPT_BROWSER_BRIDGE","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_GPT_BROWSER_BRIDGE\8aff7147a926_diagnostics.js","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\gpt_browser_bridge\diagnostics.js","diagnostics.js","8aff7147a926623668d25bae5c8f9081a5c7552c8dc0d64eea8b15ce8b20d89e","8aff7147a926623668d25bae5c8f9081a5c7552c8dc0d64eea8b15ce8b20d89e","True"
"runtime","P0_GPT_BROWSER_BRIDGE","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_GPT_BROWSER_BRIDGE\d69be4e9afcc_buttonHandlers.js","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\gpt_browser_bridge\buttonHandlers.js","buttonHandlers.js","d69be4e9afcc5864af7e1b38529b98c57064a2aa96b23883dea32e112c03343b","d69be4e9afcc5864af7e1b38529b98c57064a2aa96b23883dea32e112c03343b","True"
"runtime","P0_GPT_BROWSER_BRIDGE","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_GPT_BROWSER_BRIDGE\dde37d7fa1ec_stage1SelfCheck.js","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\gpt_browser_bridge\stage1SelfCheck.js","stage1SelfCheck.js","dde37d7fa1ec956e4bee30d24e3eed1d968380eb905bd4ce4aec60f3ff41ebda","dde37d7fa1ec956e4bee30d24e3eed1d968380eb905bd4ce4aec60f3ff41ebda","True"
"runtime","P0_GPT_BROWSER_BRIDGE","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_GPT_BROWSER_BRIDGE\e2e55ca1e08a_fileNameSafe.js","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\gpt_browser_bridge\fileNameSafe.js","fileNameSafe.js","e2e55ca1e08a8b96c62d77348b66dccbf3c570cce9a0fa2a78452098609431f5","e2e55ca1e08a8b96c62d77348b66dccbf3c570cce9a0fa2a78452098609431f5","True"
"runtime","P0_PC_AGENT_ROUTING_CORE","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_PC_AGENT_ROUTING_CORE\371b0480110f_B2_W12_PREFINAL_VALIDATOR.py","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\pc_agent\B2_W12_PREFINAL_VALIDATOR.py","B2_W12_PREFINAL_VALIDATOR.py","371b0480110f4f5766202bdaabf2134617b5dcf1b03c3fa7a59501a14d033792","371b0480110f4f5766202bdaabf2134617b5dcf1b03c3fa7a59501a14d033792","True"
"runtime","P0_PC_AGENT_ROUTING_CORE","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_PC_AGENT_ROUTING_CORE\6ae1df3747b0_event_consumption_store.py","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\pc_agent\event_consumption_store.py","event_consumption_store.py","6ae1df3747b0bf3611fc0bbf904be1ea2033bef415a33e4ec0f4a4cd99207a73","6ae1df3747b0bf3611fc0bbf904be1ea2033bef415a33e4ec0f4a4cd99207a73","True"
"runtime","P0_PC_AGENT_ROUTING_CORE","STABLE_INTEGRATION_CANDIDATE","E:\YOLLA\source-factory-core\src\runtime_import\p0_runtime_import_20260731_013239\P0_PC_AGENT_ROUTING_CORE\91f4d5cee4fb_resource_doctor.py","E:\YOLLA\source-factory-core\src\integration_candidates\p0_stable_candidate_20260731_015516\pc_agent\resource_doctor.py","resource_doctor.py","91f4d5cee4fb08e34a2c75fbb3d41ff8a0b2a583dead63a511283a3b50b15d70","91f4d5cee4fb08e34a2c75fbb3d41ff8a0b2a583dead63a511283a3b50b15d70","True"
"ops","P0_GPT_BROWSER_BRIDGE","OPS_INTEGRATION_REFERENCE","E:\YOLLA\source-factory-core\ops_import\p0_ops_import_20260731_013239\P0_GPT_BROWSER_BRIDGE\3d07ea5055b8_RUN_STAGE1_DIAGNOSTIC.bat","E:\YOLLA\source-factory-core\ops_integration_candidates\p0_ops_candidate_20260731_015516\gpt_browser_bridge\RUN_STAGE1_DIAGNOSTIC.bat","RUN_STAGE1_DIAGNOSTIC.bat","3d07ea5055b87df89b9039d0d3508b828b410b8002b143f201d83fc02c1df470","3d07ea5055b87df89b9039d0d3508b828b410b8002b143f201d83fc02c1df470","True"
"ops","P0_GPT_BROWSER_BRIDGE","OPS_INTEGRATION_REFERENCE","E:\YOLLA\source-factory-core\ops_import\p0_ops_import_20260731_013239\P0_GPT_BROWSER_BRIDGE\cb4b65aaf72f_a4-hosted-windows-pc-agent-build-v4.yml","E:\YOLLA\source-factory-core\ops_integration_candidates\p0_ops_candidate_20260731_015516\gpt_browser_bridge\a4-hosted-windows-pc-agent-build-v4.yml","a4-hosted-windows-pc-agent-build-v4.yml","cb4b65aaf72f33cb414bff7dc0d1f4788f5ccd2e47250bfdf318982dde3d064e","cb4b65aaf72f33cb414bff7dc0d1f4788f5ccd2e47250bfdf318982dde3d064e","True"
