"file_name","category","source_staged_path","promoted_path","expected_sha256","copied_sha256","sha_match"
"006_GAS_STATION_PORTAL_EXAMPLES_PROMPT.md","P0_DAILY_QUEUE_RUNNER","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\source-factory-core\daily_queue\2026-07-30\006_GAS_STATION_PORTAL_EXAMPLES_PROMPT.md",".\src_import\p0_core_import_v2_20260731_012550\P0_DAILY_QUEUE_RUNNER\f1560fac69a3_006_GAS_STATION_PORTAL_EXAMPLES_PROMPT.md","f1560fac69a30ab9638437db90295c1c178afe125ec227c92dea882c50cce8d6","f1560fac69a30ab9638437db90295c1c178afe125ec227c92dea882c50cce8d6","True"
"DAILY_QUEUE_RUNNER_SPEC.md","P0_DAILY_QUEUE_RUNNER","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\source-factory-core\docs\DAILY_QUEUE_RUNNER_SPEC.md",".\src_import\p0_core_import_v2_20260731_012550\P0_DAILY_QUEUE_RUNNER\5e56af15c763_DAILY_QUEUE_RUNNER_SPEC.md","5e56af15c76383f3b23f4a93ccec3dd57e0cb7ac8d3e0b16745a306312454a4f","5e56af15c76383f3b23f4a93ccec3dd57e0cb7ac8d3e0b16745a306312454a4f","True"
"dailyQueueReader.js","P0_DAILY_QUEUE_RUNNER","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\source-factory-core\src\queue\dailyQueueReader.js",".\src_import\p0_core_import_v2_20260731_012550\P0_DAILY_QUEUE_RUNNER\76737a6582c9_dailyQueueReader.js","76737a6582c93ba4330a8e0e8f4fcc4dc7380585cc265d8f2675c9e20c7c0620","76737a6582c93ba4330a8e0e8f4fcc4dc7380585cc265d8f2675c9e20c7c0620","True"
"005_STAGE4_LEGACY_SOURCE_ARCHIVE_PROMPT.md","P0_DAILY_QUEUE_RUNNER","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\source-factory-core\daily_queue\2026-07-30\005_STAGE4_LEGACY_SOURCE_ARCHIVE_PROMPT.md",".\src_import\p0_core_import_v2_20260731_012550\P0_DAILY_QUEUE_RUNNER\68efce0c7447_005_STAGE4_LEGACY_SOURCE_ARCHIVE_PROMPT.md","68efce0c74477b2dd58327982fcf0c20e7a6bea7ec39a213f5c563a306b74434","68efce0c74477b2dd58327982fcf0c20e7a6bea7ec39a213f5c563a306b74434","True"
"000_SOURCE_MIGRATION_DAILY_PLAN.json","P0_DAILY_QUEUE_RUNNER","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\source-factory-core\daily_queue\2026-07-30\000_SOURCE_MIGRATION_DAILY_PLAN.json",".\src_import\p0_core_import_v2_20260731_012550\P0_DAILY_QUEUE_RUNNER\f4bd263af122_000_SOURCE_MIGRATION_DAILY_PLAN.json","f4bd263af12234a2c6485fccf5ad63e1128c2dd674665adcfdc9299ac8b34bd8","f4bd263af12234a2c6485fccf5ad63e1128c2dd674665adcfdc9299ac8b34bd8","True"
"001_SOURCE_FACTORY_LOCAL_SOURCE_INVENTORY_EXECUTION.md","P0_DAILY_QUEUE_RUNNER","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\source-factory-core\daily_queue\2026-07-30\001_SOURCE_FACTORY_LOCAL_SOURCE_INVENTORY_EXECUTION.md",".\src_import\p0_core_import_v2_20260731_012550\P0_DAILY_QUEUE_RUNNER\a42dec7d96d2_001_SOURCE_FACTORY_LOCAL_SOURCE_INVENTORY_EXECUTION.md","a42dec7d96d2044f3ef620e93da82637f006ad6a2a1e3e285f87224df3f8a80e","a42dec7d96d2044f3ef620e93da82637f006ad6a2a1e3e285f87224df3f8a80e","True"
"001_SOURCE_FACTORY_LOCAL_SOURCE_INVENTORY_PROMPT.md","P0_DAILY_QUEUE_RUNNER","_staging\p0_core_import_20260730_174852\source_files\E\YOLLA\source-factory-core\daily_queue\2026-07-30\001_SOURCE_FACTORY_LOCAL_SOURCE_INVENTORY_PROMPT.md",".\src_import\p0_core_import_v2_20260731_012550\P0_DAILY_QUEUE_RUNNER\dbdddebae396_001_SOURCE_FACTORY_LOCAL_SOURCE_INVENTORY_PROMPT.md","dbdddebae396e8d747c9e8cc9a1f6ffb34b8afa151ee452a0dd67d2238d88fd7","dbdddebae396e8d747c9e8cc9a1f6ffb34b8afa151ee452a0dd67d2238d88fd7","True"
"STAGE1_INTEGRATION_CHECKLIST.md","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\_ASSEMBLY_RECORDS\2026-07-01\STAGE1_BROWSER_V0_1_RUNTIME_PASS\assembled_files\assembled\20260701_01_STAGE1_BROWSER\STAGE1_INTEGRATION_CHECKLIST.md",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\2e231c971a50_STAGE1_INTEGRATION_CHECKLIST.md","2e231c971a5096207ca8bf118b6afd2b53093c0c46f8eedde9815368ce64ffd3","2e231c971a5096207ca8bf118b6afd2b53093c0c46f8eedde9815368ce64ffd3","True"
"stage1SelfCheck.js","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260701_01_STAGE1_BROWSER\src\core\stage1SelfCheck.js",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\dde37d7fa1ec_stage1SelfCheck.js","dde37d7fa1ec956e4bee30d24e3eed1d968380eb905bd4ce4aec60f3ff41ebda","dde37d7fa1ec956e4bee30d24e3eed1d968380eb905bd4ce4aec60f3ff41ebda","True"
"SOURCE_EXTRACTION_REPORT.md","P0_GPT_BROWSER_BRIDGE","_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260701_01_STAGE1_BROWSER\_ASSEMBLY_REPORTS\SOURCE_EXTRACTION_REPORT.md",".\src_import\p0_core_import_v2_20260731_012550\P0_GPT_BROWSER_BRIDGE\f2822066cec8_SOURCE_EXTRACTION_REPORT.md","f2822066cec8589331342a5727f9f03b24e2c4b52005f3012da743aa17f7b578","f2822066cec8589331342a5727f9f03b24e2c4b52005f3012da743aa17f7b578","True"
